I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

16.0298  -38.466  3.41 eta Lup
20.7632   61.936  3.41 eta Cep
20.7863  -66.111  3.41 bet Pav
22.7118   10.963  3.41 Homam 
 1.9086   29.700  3.42 Mothallah 
 8.5387   60.632  3.42 Muscida 
17.7906   27.707  3.42 mu.01 Her
18.8501   33.393  3.42 Sheliak 
 7.9569  -53.050  3.43 chi Car
13.8522  -42.597  3.43 mu. Cen
19.1263   -4.843  3.43 lam Aql
 0.8439   57.947  3.44 Achird 
 1.1641  -10.050  3.45 eta Cet
 9.9624  -54.687  3.45 phi Vel
10.3099   42.788  3.45 Tania Borealis
18.4804  -45.952  3.46 alf Tel
 2.7433    3.340  3.47 Kaffaljidhma 
 7.0453  -27.972  3.47 Unurgunite 
19.9978   19.562  3.47 gam Sge
22.8342  -51.185  3.47 eps Gru
22.8535   24.734  3.48 Sadalbari 
11.3304   32.958  3.49 Alula Borealis
15.2752   33.223  3.49 del Boo
 1.7538  -15.807  3.50 tau Cet
16.7292   38.876  3.50 eta Her
18.9870  -21.072  3.51 ksi02 Sgr
 5.8015  -14.814  3.52 zet Lep
 8.2978    9.107  3.52 Tarf 
 9.7080    9.777  3.52 Subra 
15.0481   40.293  3.52 Nekkar 
17.6503  -15.412  3.52 ksi Ser
 4.5013   19.234  3.53 Ain 
 7.3602   21.934  3.53 Wasat 
14.3503  -46.172  3.53 iot Lup
15.8488   -3.505  3.53 mu. Ser
 3.7408   -9.680  3.54 Rana 
11.5706  -31.996  3.54 ksi Hya
16.9006  -38.058  3.54 Pipirima 
22.8430   66.332  3.54 iot Cep
 0.3450   -8.686  3.55 iot Cet
 9.0887   47.056  3.55 Alkaphrah 
15.3900  -36.350  3.55 phi01 Lup
22.1910    6.322  3.55 Biham 
 4.3140  -33.739  3.56 ups04 Eri
 7.3255   16.493  3.56 lam Gem
11.3432  -14.914  3.56 del Crt
20.1859  -66.115  3.56 del Pav
 1.6590   48.754  3.57 Nembus 
 2.2900  -51.397  3.57 phi Eri
 7.7659   24.336  3.57 kap Gem
17.8032  -64.732  3.58 eta Pav
18.3434   72.743  3.58 chi Dra
20.3240  -12.466  3.58 Algedi 
 1.4212   -8.055  3.59 tet Cet
 2.8577   27.362  3.59 Bharani 
 5.3137   -6.819  3.59 tau Ori
12.3788  -60.539  3.59 Ginan 
14.5485   30.263  3.59 rho Boo
15.6425  -28.216  3.59 ups Lib
 3.4360    9.115  3.60 omi Tau
 5.7584  -22.442  3.60 gam Lep
 6.9072   33.929  3.60 tet Gem
